legislator,rollcall,vote,yea,.rollcall_id,party,.legis_id
REID (D NV),1-2,1,TRUE,2,Democratic,57
SUNUNU (R NH),1-2,1,TRUE,2,Republican,59
CORZINE (D NJ),1-2,1,TRUE,2,Democratic,60
LAUTENBERG (D NJ),1-2,6,FALSE,2,Democratic,62
BINGAMAN (D NM),1-2,1,TRUE,2,Democratic,63
DOMENICI (R NM),1-2,1,TRUE,2,Republican,64
CLINTON (D NY),1-2,1,TRUE,2,Democratic,65
SCHUMER (D NY),1-2,1,TRUE,2,Democratic,66
BURR (R NC),1-2,1,TRUE,2,Republican,67
DOLE (R NC),1-2,1,TRUE,2,Republican,68
CONRAD (D ND),1-2,1,TRUE,2,Democratic,69
DORGAN (D ND),1-2,1,TRUE,2,Democratic,70
DEWINE (R OH),1-2,1,TRUE,2,Republican,71
VOINOVICH (R OH),1-2,1,TRUE,2,Republican,72
INHOFE (R OK),1-2,1,TRUE,2,Republican,73
COBURN (R OK),1-2,1,TRUE,2,Republican,74
SMITH (R OR),1-2,1,TRUE,2,Republican,75
WYDEN (D OR),1-2,1,TRUE,2,Democratic,76
SANTORUM (R PA),1-2,1,TRUE,2,Republican,77
SPECTER (R PA),1-2,1,TRUE,2,Republican,78
CHAFEE (R RI),1-2,1,TRUE,2,Republican,79
REED (D RI),1-2,6,FALSE,2,Democratic,80
DEMINT (R SC),1-2,1,TRUE,2,Republican,81
GRAHAM (R SC),1-2,1,TRUE,2,Republican,82
THUNE (R SD),1-2,1,TRUE,2,Republican,83
JOHNSON (D SD),1-2,1,TRUE,2,Democratic,84
FRIST (R TN),1-2,1,TRUE,2,Republican,85
ALEXANDER (R TN),1-2,1,TRUE,2,Republican,86
CORNYN (R TX),1-2,1,TRUE,2,Republican,87
HUTCHISON (R TX),1-2,1,TRUE,2,Republican,88
BENNETT (R UT),1-2,1,TRUE,2,Republican,89
HATCH (R UT),1-2,1,TRUE,2,Republican,90
JEFFORDS (Indep VT),1-2,6,FALSE,2,Independent,91
LEAHY (D VT),1-2,1,TRUE,2,Democratic,92
ALLEN (R VA),1-2,1,TRUE,2,Republican,93
WARNER (R VA),1-2,1,TRUE,2,Republican,94
CANTWELL (D WA),1-2,1,TRUE,2,Democratic,95
MURRAY (D WA),1-2,1,TRUE,2,Democratic,96
BYRD (D WV),1-2,6,FALSE,2,Democratic,97
ROCKEFELLER (D WV),1-2,1,TRUE,2,Democratic,98
FEINGOLD (D WI),1-2,1,TRUE,2,Democratic,99
KOHL (D WI),1-2,1,TRUE,2,Democratic,100
ENZI (R WY),1-2,1,TRUE,2,Republican,101
THOMAS (R WY),1-2,1,TRUE,2,Republican,102
BUSH (R USA),1-3,1,TRUE,3,Republican,1
SESSIONS (R AL),1-3,1,TRUE,3,Republican,2
SHELBY (R AL),1-3,1,TRUE,3,Republican,3
MURKOWSKI (R AK),1-3,1,TRUE,3,Republican,4
STEVENS (R AK),1-3,1,TRUE,3,Republican,5
KYL (R AZ),1-3,1,TRUE,3,Republican,6
MCCAIN (R AZ),1-3,1,TRUE,3,Republican,7
PRYOR (D AR),1-3,1,TRUE,3,Democratic,8
LINCOLN (D AR),1-3,6,FALSE,3,Democratic,9
BOXER (D CA),1-3,6,FALSE,3,Democratic,10
FEINSTEIN (D CA),1-3,6,FALSE,3,Democratic,11
ALLARD (R CO),1-3,1,TRUE,3,Republican,12
SALAZAR (D CO),1-3,1,TRUE,3,Democratic,13
DODD (D CT),1-3,6,FALSE,3,Democratic,14
LIEBERMAN (D CT),1-3,1,TRUE,3,Democratic,15
BIDEN (D DE),1-3,6,FALSE,3,Democratic,16
CARPER (D DE),1-3,6,FALSE,3,Democratic,17
MARTINEZ (R FL),1-3,1,TRUE,3,Republican,18
NELSON (D FL),1-3,1,TRUE,3,Democratic,19
CHAMBLISS (R GA),1-3,1,TRUE,3,Republican,20
ISAKSON (R GA),1-3,1,TRUE,3,Republican,21
AKAKA (D HI),1-3,6,FALSE,3,Democratic,22
CRAIG (R ID),1-3,1,TRUE,3,Republican,24
CRAPO (R ID),1-3,1,TRUE,3,Republican,25
DURBIN (D IL),1-3,6,FALSE,3,Democratic,26
OBAMA (D IL),1-3,6,FALSE,3,Democratic,27
BAYH (D IN),1-3,6,FALSE,3,Democratic,28
LUGAR (R IN),1-3,1,TRUE,3,Republican,29
GRASSLEY (R IA),1-3,1,TRUE,3,Republican,30
HARKIN (D IA),1-3,6,FALSE,3,Democratic,31
BROWNBACK (R KS),1-3,1,TRUE,3,Republican,32
ROBERTS (R KS),1-3,1,TRUE,3,Republican,33
BUNNING (R KY),1-3,1,TRUE,3,Republican,34
MCCONNELL (R KY),1-3,1,TRUE,3,Republican,35
VITTER (R LA),1-3,1,TRUE,3,Republican,36
LANDRIEU (D LA),1-3,1,TRUE,3,Democratic,37
COLLINS (R ME),1-3,1,TRUE,3,Republican,38
SNOWE (R ME),1-3,1,TRUE,3,Republican,39
MIKULSKI (D MD),1-3,6,FALSE,3,Democratic,40
SARBANES (D MD),1-3,6,FALSE,3,Democratic,41
KENNEDY (D MA),1-3,6,FALSE,3,Democratic,42
KERRY (D MA),1-3,6,FALSE,3,Democratic,43
STABENOW (D MI),1-3,6,FALSE,3,Democratic,44
LEVIN (D MI),1-3,6,FALSE,3,Democratic,45
DAYTON (D MN),1-3,6,FALSE,3,Democratic,46
COLEMAN (R MN),1-3,1,TRUE,3,Republican,47
COCHRAN (R MS),1-3,1,TRUE,3,Republican,48
LOTT (R MS),1-3,1,TRUE,3,Republican,49
TALENT (R MO),1-3,1,TRUE,3,Republican,50
BOND (R MO),1-3,1,TRUE,3,Republican,51
HAGEL (R NE),1-3,1,TRUE,3,Republican,54
NELSON (D NE),1-3,1,TRUE,3,Democratic,55
ENSIGN (R NV),1-3,1,TRUE,3,Republican,56
REID (D NV),1-3,6,FALSE,3,Democratic,57
GREGG (R NH),1-3,1,TRUE,3,Republican,58
SUNUNU (R NH),1-3,1,TRUE,3,Republican,59
CORZINE (D NJ),1-3,6,FALSE,3,Democratic,60
LAUTENBERG (D NJ),1-3,6,FALSE,3,Democratic,62
BINGAMAN (D NM),1-3,6,FALSE,3,Democratic,63
DOMENICI (R NM),1-3,1,TRUE,3,Republican,64
CLINTON (D NY),1-3,6,FALSE,3,Democratic,65
SCHUMER (D NY),1-3,6,FALSE,3,Democratic,66
BURR (R NC),1-3,1,TRUE,3,Republican,67
DOLE (R NC),1-3,1,TRUE,3,Republican,68
DORGAN (D ND),1-3,6,FALSE,3,Democratic,70
DEWINE (R OH),1-3,1,TRUE,3,Republican,71
VOINOVICH (R OH),1-3,1,TRUE,3,Republican,72
INHOFE (R OK),1-3,1,TRUE,3,Republican,73
COBURN (R OK),1-3,1,TRUE,3,Republican,74
SMITH (R OR),1-3,1,TRUE,3,Republican,75
WYDEN (D OR),1-3,6,FALSE,3,Democratic,76
SANTORUM (R PA),1-3,1,TRUE,3,Republican,77
SPECTER (R PA),1-3,1,TRUE,3,Republican,78
CHAFEE (R RI),1-3,1,TRUE,3,Republican,79
REED (D RI),1-3,6,FALSE,3,Democratic,80
DEMINT (R SC),1-3,1,TRUE,3,Republican,81
GRAHAM (R SC),1-3,1,TRUE,3,Republican,82
THUNE (R SD),1-3,1,TRUE,3,Republican,83
JOHNSON (D SD),1-3,6,FALSE,3,Democratic,84
FRIST (R TN),1-3,1,TRUE,3,Republican,85
ALEXANDER (R TN),1-3,1,TRUE,3,Republican,86
CORNYN (R TX),1-3,1,TRUE,3,Republican,87
HUTCHISON (R TX),1-3,1,TRUE,3,Republican,88
BENNETT (R UT),1-3,1,TRUE,3,Republican,89
HATCH (R UT),1-3,1,TRUE,3,Republican,90
JEFFORDS (Indep VT),1-3,6,FALSE,3,Independent,91
LEAHY (D VT),1-3,6,FALSE,3,Democratic,92
ALLEN (R VA),1-3,1,TRUE,3,Republican,93
WARNER (R VA),1-3,1,TRUE,3,Republican,94
CANTWELL (D WA),1-3,6,FALSE,3,Democratic,95
MURRAY (D WA),1-3,6,FALSE,3,Democratic,96
BYRD (D WV),1-3,6,FALSE,3,Democratic,97
ROCKEFELLER (D WV),1-3,6,FALSE,3,Democratic,98
FEINGOLD (D WI),1-3,6,FALSE,3,Democratic,99
KOHL (D WI),1-3,6,FALSE,3,Democratic,100
ENZI (R WY),1-3,1,TRUE,3,Republican,101
THOMAS (R WY),1-3,1,TRUE,3,Republican,102
SESSIONS (R AL),1-5,1,TRUE,4,Republican,2
SHELBY (R AL),1-5,1,TRUE,4,Republican,3
MURKOWSKI (R AK),1-5,1,TRUE,4,Republican,4
STEVENS (R AK),1-5,1,TRUE,4,Republican,5
KYL (R AZ),1-5,1,TRUE,4,Republican,6
MCCAIN (R AZ),1-5,1,TRUE,4,Republican,7
PRYOR (D AR),1-5,6,FALSE,4,Democratic,8
LINCOLN (D AR),1-5,1,TRUE,4,Democratic,9
BOXER (D CA),1-5,6,FALSE,4,Democratic,10
FEINSTEIN (D CA),1-5,6,FALSE,4,Democratic,11
ALLARD (R CO),1-5,1,TRUE,4,Republican,12
SALAZAR (D CO),1-5,6,FALSE,4,Democratic,13
DODD (D CT),1-5,1,TRUE,4,Democratic,14
LIEBERMAN (D CT),1-5,6,FALSE,4,Democratic,15
BIDEN (D DE),1-5,6,FALSE,4,Democratic,16
CARPER (D DE),1-5,1,TRUE,4,Democratic,17
MARTINEZ (R FL),1-5,1,TRUE,4,Republican,18
NELSON (D FL),1-5,6,FALSE,4,Democratic,19
CHAMBLISS (R GA),1-5,1,TRUE,4,Republican,20
ISAKSON (R GA),1-5,1,TRUE,4,Republican,21
AKAKA (D HI),1-5,6,FALSE,4,Democratic,22
INOUYE (D HI),1-5,6,FALSE,4,Democratic,23
CRAIG (R ID),1-5,1,TRUE,4,Republican,24
CRAPO (R ID),1-5,1,TRUE,4,Republican,25
DURBIN (D IL),1-5,6,FALSE,4,Democratic,26
OBAMA (D IL),1-5,6,FALSE,4,Democratic,27
BAYH (D IN),1-5,6,FALSE,4,Democratic,28
LUGAR (R IN),1-5,1,TRUE,4,Republican,29
GRASSLEY (R IA),1-5,1,TRUE,4,Republican,30
HARKIN (D IA),1-5,6,FALSE,4,Democratic,31
BROWNBACK (R KS),1-5,1,TRUE,4,Republican,32
ROBERTS (R KS),1-5,1,TRUE,4,Republican,33
BUNNING (R KY),1-5,1,TRUE,4,Republican,34
MCCONNELL (R KY),1-5,1,TRUE,4,Republican,35
VITTER (R LA),1-5,1,TRUE,4,Republican,36
LANDRIEU (D LA),1-5,6,FALSE,4,Democratic,37
COLLINS (R ME),1-5,1,TRUE,4,Republican,38
SNOWE (R ME),1-5,1,TRUE,4,Republican,39
MIKULSKI (D MD),1-5,6,FALSE,4,Democratic,40
SARBANES (D MD),1-5,6,FALSE,4,Democratic,41
KENNEDY (D MA),1-5,6,FALSE,4,Democratic,42
KERRY (D MA),1-5,6,FALSE,4,Democratic,43
STABENOW (D MI),1-5,6,FALSE,4,Democratic,44
LEVIN (D MI),1-5,6,FALSE,4,Democratic,45
DAYTON (D MN),1-5,6,FALSE,4,Democratic,46
COLEMAN (R MN),1-5,1,TRUE,4,Republican,47
COCHRAN (R MS),1-5,1,TRUE,4,Republican,48
LOTT (R MS),1-5,1,TRUE,4,Republican,49
TALENT (R MO),1-5,1,TRUE,4,Republican,50
BOND (R MO),1-5,1,TRUE,4,Republican,51
BAUCUS (D MT),1-5,6,FALSE,4,Democratic,52
BURNS (R MT),1-5,1,TRUE,4,Republican,53
HAGEL (R NE),1-5,1,TRUE,4,Republican,54
NELSON (D NE),1-5,1,TRUE,4,Democratic,55
ENSIGN (R NV),1-5,1,TRUE,4,Republican,56
REID (D NV),1-5,6,FALSE,4,Democratic,57
GREGG (R NH),1-5,1,TRUE,4,Republican,58
CORZINE (D NJ),1-5,6,FALSE,4,Democratic,60
LAUTENBERG (D NJ),1-5,6,FALSE,4,Democratic,62
BINGAMAN (D NM),1-5,6,FALSE,4,Democratic,63
DOMENICI (R NM),1-5,1,TRUE,4,Republican,64
CLINTON (D NY),1-5,6,FALSE,4,Democratic,65
SCHUMER (D NY),1-5,1,TRUE,4,Democratic,66
BURR (R NC),1-5,1,TRUE,4,Republican,67
DOLE (R NC),1-5,1,TRUE,4,Republican,68
CONRAD (D ND),1-5,6,FALSE,4,Democratic,69
DORGAN (D ND),1-5,6,FALSE,4,Democratic,70
DEWINE (R OH),1-5,1,TRUE,4,Republican,71
VOINOVICH (R OH),1-5,1,TRUE,4,Republican,72
INHOFE (R OK),1-5,1,TRUE,4,Republican,73
COBURN (R OK),1-5,1,TRUE,4,Republican,74
SMITH (R OR),1-5,1,TRUE,4,Republican,75
WYDEN (D OR),1-5,6,FALSE,4,Democratic,76
SANTORUM (R PA),1-5,1,TRUE,4,Republican,77
SPECTER (R PA),1-5,1,TRUE,4,Republican,78
CHAFEE (R RI),1-5,1,TRUE,4,Republican,79
REED (D RI),1-5,6,FALSE,4,Democratic,80
DEMINT (R SC),1-5,1,TRUE,4,Republican,81
GRAHAM (R SC),1-5,1,TRUE,4,Republican,82
THUNE (R SD),1-5,1,TRUE,4,Republican,83
JOHNSON (D SD),1-5,6,FALSE,4,Democratic,84
FRIST (R TN),1-5,1,TRUE,4,Republican,85
ALEXANDER (R TN),1-5,1,TRUE,4,Republican,86
CORNYN (R TX),1-5,1,TRUE,4,Republican,87
HUTCHISON (R TX),1-5,1,TRUE,4,Republican,88
BENNETT (R UT),1-5,1,TRUE,4,Republican,89
HATCH (R UT),1-5,1,TRUE,4,Republican,90
JEFFORDS (Indep VT),1-5,6,FALSE,4,Independent,91
LEAHY (D VT),1-5,6,FALSE,4,Democratic,92
ALLEN (R VA),1-5,1,TRUE,4,Republican,93
WARNER (R VA),1-5,1,TRUE,4,Republican,94
CANTWELL (D WA),1-5,6,FALSE,4,Democratic,95
MURRAY (D WA),1-5,6,FALSE,4,Democratic,96
BYRD (D WV),1-5,6,FALSE,4,Democratic,97
ROCKEFELLER (D WV),1-5,6,FALSE,4,Democratic,98
FEINGOLD (D WI),1-5,6,FALSE,4,Democratic,99
KOHL (D WI),1-5,1,TRUE,4,Democratic,100
ENZI (R WY),1-5,1,TRUE,4,Republican,101
THOMAS (R WY),1-5,1,TRUE,4,Republican,102
SESSIONS (R AL),1-6,6,FALSE,5,Republican,2
SHELBY (R AL),1-6,6,FALSE,5,Republican,3
MURKOWSKI (R AK),1-6,6,FALSE,5,Republican,4
STEVENS (R AK),1-6,6,FALSE,5,Republican,5
KYL (R AZ),1-6,6,FALSE,5,Republican,6
MCCAIN (R AZ),1-6,6,FALSE,5,Republican,7
PRYOR (D AR),1-6,1,TRUE,5,Democratic,8
LINCOLN (D AR),1-6,1,TRUE,5,Democratic,9
BOXER (D CA),1-6,1,TRUE,5,Democratic,10
FEINSTEIN (D CA),1-6,6,FALSE,5,Democratic,11
ALLARD (R CO),1-6,6,FALSE,5,Republican,12
SALAZAR (D CO),1-6,1,TRUE,5,Democratic,13
DODD (D CT),1-6,6,FALSE,5,Democratic,14
LIEBERMAN (D CT),1-6,1,TRUE,5,Democratic,15
BIDEN (D DE),1-6,1,TRUE,5,Democratic,16
CARPER (D DE),1-6,6,FALSE,5,Democratic,17
MARTINEZ (R FL),1-6,6,FALSE,5,Republican,18
NELSON (D FL),1-6,1,TRUE,5,Democratic,19
CHAMBLISS (R GA),1-6,6,FALSE,5,Republican,20
ISAKSON (R GA),1-6,6,FALSE,5,Republican,21
AKAKA (D HI),1-6,1,TRUE,5,Democratic,22
INOUYE (D HI),1-6,1,TRUE,5,Democratic,23
CRAIG (R ID),1-6,6,FALSE,5,Republican,24
CRAPO (R ID),1-6,6,FALSE,5,Republican,25
DURBIN (D IL),1-6,1,TRUE,5,Democratic,26
OBAMA (D IL),1-6,1,TRUE,5,Democratic,27
BAYH (D IN),1-6,1,TRUE,5,Democratic,28
LUGAR (R IN),1-6,6,FALSE,5,Republican,29
GRASSLEY (R IA),1-6,6,FALSE,5,Republican,30
HARKIN (D IA),1-6,1,TRUE,5,Democratic,31
BROWNBACK (R KS),1-6,6,FALSE,5,Republican,32
ROBERTS (R KS),1-6,6,FALSE,5,Republican,33
BUNNING (R KY),1-6,6,FALSE,5,Republican,34
MCCONNELL (R KY),1-6,6,FALSE,5,Republican,35
VITTER (R LA),1-6,6,FALSE,5,Republican,36
LANDRIEU (D LA),1-6,1,TRUE,5,Democratic,37
COLLINS (R ME),1-6,6,FALSE,5,Republican,38
SNOWE (R ME),1-6,6,FALSE,5,Republican,39
MIKULSKI (D MD),1-6,1,TRUE,5,Democratic,40
SARBANES (D MD),1-6,1,TRUE,5,Democratic,41
KENNEDY (D MA),1-6,1,TRUE,5,Democratic,42
KERRY (D MA),1-6,1,TRUE,5,Democratic,43
STABENOW (D MI),1-6,1,TRUE,5,Democratic,44
LEVIN (D MI),1-6,1,TRUE,5,Democratic,45
DAYTON (D MN),1-6,1,TRUE,5,Democratic,46
COLEMAN (R MN),1-6,6,FALSE,5,Republican,47
COCHRAN (R MS),1-6,6,FALSE,5,Republican,48
LOTT (R MS),1-6,6,FALSE,5,Republican,49
TALENT (R MO),1-6,6,FALSE,5,Republican,50
BOND (R MO),1-6,6,FALSE,5,Republican,51
BAUCUS (D MT),1-6,1,TRUE,5,Democratic,52
BURNS (R MT),1-6,6,FALSE,5,Republican,53
HAGEL (R NE),1-6,6,FALSE,5,Republican,54
NELSON (D NE),1-6,6,FALSE,5,Democratic,55
ENSIGN (R NV),1-6,6,FALSE,5,Republican,56
REID (D NV),1-6,1,TRUE,5,Democratic,57
GREGG (R NH),1-6,6,FALSE,5,Republican,58
CORZINE (D NJ),1-6,1,TRUE,5,Democratic,60
LAUTENBERG (D NJ),1-6,1,TRUE,5,Democratic,62
BINGAMAN (D NM),1-6,1,TRUE,5,Democratic,63
DOMENICI (R NM),1-6,6,FALSE,5,Republican,64
CLINTON (D NY),1-6,1,TRUE,5,Democratic,65
SCHUMER (D NY),1-6,1,TRUE,5,Democratic,66
BURR (R NC),1-6,6,FALSE,5,Republican,67
DOLE (R NC),1-6,6,FALSE,5,Republican,68
CONRAD (D ND),1-6,1,TRUE,5,Democratic,69
DORGAN (D ND),1-6,1,TRUE,5,Democratic,70
DEWINE (R OH),1-6,6,FALSE,5,Republican,71
VOINOVICH (R OH),1-6,6,FALSE,5,Republican,72
INHOFE (R OK),1-6,6,FALSE,5,Republican,73
COBURN (R OK),1-6,6,FALSE,5,Republican,74
SMITH (R OR),1-6,6,FALSE,5,Republican,75
WYDEN (D OR),1-6,1,TRUE,5,Democratic,76
SANTORUM (R PA),1-6,6,FALSE,5,Republican,77
SPECTER (R PA),1-6,6,FALSE,5,Republican,78
CHAFEE (R RI),1-6,6,FALSE,5,Republican,79
REED (D RI),1-6,1,TRUE,5,Democratic,80
DEMINT (R SC),1-6,6,FALSE,5,Republican,81
GRAHAM (R SC),1-6,6,FALSE,5,Republican,82
THUNE (R SD),1-6,6,FALSE,5,Republican,83
JOHNSON (D SD),1-6,1,TRUE,5,Democratic,84
FRIST (R TN),1-6,6,FALSE,5,Republican,85
ALEXANDER (R TN),1-6,6,FALSE,5,Republican,86
CORNYN (R TX),1-6,6,FALSE,5,Republican,87
HUTCHISON (R TX),1-6,6,FALSE,5,Republican,88
BENNETT (R UT),1-6,6,FALSE,5,Republican,89
HATCH (R UT),1-6,6,FALSE,5,Republican,90
JEFFORDS (Indep VT),1-6,1,TRUE,5,Independent,91
LEAHY (D VT),1-6,1,TRUE,5,Democratic,92
ALLEN (R VA),1-6,6,FALSE,5,Republican,93
WARNER (R VA),1-6,6,FALSE,5,Republican,94
CANTWELL (D WA),1-6,1,TRUE,5,Democratic,95
MURRAY (D WA),1-6,1,TRUE,5,Democratic,96
BYRD (D WV),1-6,1,TRUE,5,Democratic,97
ROCKEFELLER (D WV),1-6,1,TRUE,5,Democratic,98
FEINGOLD (D WI),1-6,1,TRUE,5,Democratic,99
KOHL (D WI),1-6,6,FALSE,5,Democratic,100
ENZI (R WY),1-6,6,FALSE,5,Republican,101
