date,session,number,bill,question,result,description,yeatotal,naytotal,rollcall,passed,votestotal,yea_pct,close,lopsided,.rollcall_id,pct_yea_D,pct_yea_R,partyline
2005-03-16,1,53,S.Con.Res. 18,On the Amendment S.Amdt. 186,Rejected,Feingold Amdt. No. 186; To fully reinstate the pay-as-you-go requirement.,50,50,1-53,FALSE,100,0.5,FALSE,FALSE,47,1,0.09090909090909091,Democratic
2005-03-16,1,54,S.Con.Res. 18,On the Amendment S.Amdt. 171,Agreed to,"Ensign Amdt. No. 170; To increase veterans medical care by $410,000,000 in fiscal year 2006.",96,4,1-54,FALSE,100,0.96,TRUE,FALSE,48,1,0.9272727272727272,NA
2005-03-16,1,55,S.Con.Res. 18,On the Amendment S.Amdt. 149,Rejected,Akaka Amdt. No. 149; To increase veterans medical care by $2.8 billion in 2006.,47,53,1-55,FALSE,100,0.47,FALSE,FALSE,49,1,0.03636363636363636,Democratic
2005-03-16,1,56,S.Con.Res. 18,On the Amendment S.Amdt. 173,Agreed to,"Specter Amdt. No. 173; To increase discretionary health and education funding by $2,000,000,000.",63,37,1-56,FALSE,100,0.63,FALSE,FALSE,50,1,0.32727272727272727,NA
2005-03-17,1,57,S.Con.Res. 18,On the Amendment S.Amdt. 229,Rejected,Frist Amdt. No. 229; To express the sense of the Senate regarding Medicaid reconciliation legislation consistent with recommendations from the Secretary of Health and Human Services.,49,51,1-57,FALSE,100,0.49,FALSE,FALSE,51,0,0.8909090909090909,NA
2005-03-17,1,58,S.Con.Res. 18,On the Amendment S.Amdt. 204,Agreed to,"Smith Amdt. No. 204; To create a reserve fund for the establishment of a Bipartisan Medicaid Commission to consider and recommend appropriate reforms to the Medicaid program, and to strike Medicaid cuts to protect states and vulnerable populations.",52,48,1-58,FALSE,100,0.52,FALSE,FALSE,52,1,0.12727272727272726,NA
2005-03-17,1,59,S.Con.Res. 18,On the Amendment S.Amdt. 207,Rejected,Carper Amdt. No. 207; To provide for full consideration of tax cuts in the Senate under regular order.,49,51,1-59,FALSE,100,0.49,FALSE,FALSE,53,0.9772727272727273,0.09090909090909091,Democratic
2005-03-17,1,60,S.Con.Res. 18,On the Amendment S.Amdt. 214,Rejected,"Snowe Amdt. No. 214; To ensure that any savings associated with legislation that provides the Secretary of Health and Human Services with the authority to participate in the negotiation of contracts with manufacturers of covered part D drugs to achieve the best possible prices for such drugs under part D of title XVIII of the Social Security Act, that requires the Secretary to negotiate contracts with manufacturers of such drugs for each fallback prescription drug plan, and that requires the Secretary to participate in the negotiation for a contract for any such drug upon the request of a prescription drug plan or an MA-PD plan, is reserved for reducing expenditures under such part.",49,50,1-60,FALSE,99,0.494949494949495,FALSE,FALSE,54,0.9545454545454546,0.1111111111111111,NA
2005-03-17,1,61,S.Con.Res. 18,On the Amendment S.Amdt. 172,Rejected,Harkin Amdt. No. 172; To restore the Perkins Vocational Education program and provide for deficit reduction paid for through the elimination of the phase out of the personal exemption limitation and itemized deduction limitation for high-income taxpayers now scheduled to start in 2006.,44,56,1-61,FALSE,100,0.44,FALSE,FALSE,55,0.9545454545454546,0.01818181818181818,Democratic
2005-03-17,1,63,S.Con.Res. 18,On the Amendment S.Amdt. 210,Rejected,Dorgan Amdt. No. 210; To repeal the tax subsidy for certain domestic companies which move manufacturing operations and American jobs offshore.,40,59,1-63,FALSE,99,0.40404040404040403,FALSE,FALSE,56,0.9090909090909091,0,Democratic
2005-03-17,1,64,S.Con.Res. 18,On the Amendment S.Amdt. 220,Agreed to,"Lieberman Amdt. No. 220; To protect the American people from terrorist attacks by restoring $565 million in cuts to vital first-responder programs in the Department of Homeland Security, including the State Homeland Security Grant program, by providing $150 million for port security grants and by providing $140 million for 1,000 new border patrol agents.",63,37,1-64,FALSE,100,0.63,FALSE,FALSE,57,1,0.32727272727272727,NA
2005-03-17,1,65,S.Con.Res. 18,On the Amendment S.Amdt. 156,Rejected,Sarbanes Amdt. No. 156; To restore funding for the Community Development Block Grant (CDBG) program.,49,51,1-65,FALSE,100,0.49,FALSE,FALSE,58,1,0.07272727272727272,Democratic
2005-03-17,1,66,S.Con.Res. 18,On the Amendment S.Amdt. 230,Agreed to,Coleman Amdt. No. 230; To fully fund the Community Development Block Grant (CDBG) program.,68,31,1-66,FALSE,99,0.6868686868686869,TRUE,FALSE,59,1,0.43636363636363634,NA
2005-03-17,1,67,S.Con.Res. 18,On the Amendment S.Amdt. 208,Agreed to,Cochran Amdt. No. 208; To modify the designation authority for an emergency requirement.,73,26,1-67,FALSE,99,0.7373737373737373,TRUE,FALSE,60,0.9090909090909091,0.5925925925925926,NA
2005-03-17,1,68,S.Con.Res. 18,On the Amendment S.Amdt. 177,Agreed to,Kennedy Amdt. No. 177 As Modified; Relative to education funding.,51,49,1-68,FALSE,100,0.51,FALSE,FALSE,61,1,0.10909090909090909,NA
2005-03-17,1,69,S.Con.Res. 18,On the Amendment S.Amdt. 234,Rejected,"Baucus Amdt. No. 234; To ensure that legislation to make cuts in agriculture programs receives full consideration and debate in the Senate under regular order, rather than being fast-tracked under reconciliation procedures.",46,54,1-69,FALSE,100,0.46,FALSE,FALSE,62,1,0.01818181818181818,Democratic
2005-03-17,1,70,S.Con.Res. 18,On the Amendment S.Amdt. 239,Rejected,Biden Amdt. No. 239; Relative to funding to the Office of Community Oriented Policing Services.,45,55,1-70,FALSE,100,0.45,FALSE,FALSE,63,1,0,Democratic
2005-03-17,1,71,S.Con.Res. 18,On the Amendment S.Amdt. 240,Rejected,Byrd Amdt. No. 240; Relative to transportation funding.,45,54,1-71,FALSE,99,0.45454545454545453,FALSE,FALSE,64,1,0,Democratic
2005-03-17,1,72,S.Con.Res. 18,On the Amendment S.Amdt. 225,Agreed to,Talent Amdt. No. 225; To provide the flexibility to consider all available transportation funding options.,81,19,1-72,FALSE,100,0.81,TRUE,FALSE,65,1,0.6545454545454545,NA
2005-03-17,1,73,S.Con.Res. 18,On the Amendment S.Amdt. 243,Agreed to,Conrad Amdt. No. 243; To express the sense of the Senate that the tax cuts assumed in the budget resolution should include the repeal of the 1993 increase in the income tax on Social Security benefits.,94,6,1-73,FALSE,100,0.94,TRUE,FALSE,66,1,0.8909090909090909,NA
2005-03-17,1,74,S.Con.Res. 18,On the Amendment S.Amdt. 241,Agreed to,Bunning Amdt. No. 241; To repeal the 1993 tax increase on Social Security benefits.,55,45,1-74,FALSE,100,0.55,FALSE,FALSE,67,0.11363636363636363,0.9090909090909091,NA
2005-03-17,1,75,S.Con.Res. 18,On the Amendment S.Amdt. 244,Rejected,"Clinton Amdt. No. 244 As Modified; To expand access to preventive health care services that reduce unintended pregnancy (including teen pregnancy), reduce the number of abortions, and improve access to women's health care.",47,53,1-75,FALSE,100,0.47,FALSE,FALSE,68,0.9772727272727273,0.05454545454545454,Democratic
2005-03-17,1,76,S.Con.Res. 18,On the Amendment S.Amdt. 187,Rejected,Lautenberg Amdt. No. 187; To strike the debt ceiling reconciliation instruction.,45,54,1-76,FALSE,99,0.45454545454545453,FALSE,FALSE,69,0.9772727272727273,0.018518518518518517,Democratic
2005-03-17,1,77,S.Con.Res. 18,On the Amendment S.Amdt. 257,Rejected,Boxer Amdt. No. 257; To establish a point of order.,44,54,1-77,FALSE,98,0.4489795918367347,FALSE,FALSE,70,1,0,Democratic
2005-03-17,1,78,S.Con.Res. 18,On the Amendment S.Amdt. 211,Rejected,Dorgan Amdt. No. 211; To restore funding for tribal programs and provide necessary additional funding based on recommendations from Indian country,45,55,1-78,FALSE,100,0.45,FALSE,FALSE,71,1,0,Democratic
2005-03-17,1,79,S.Con.Res. 18,On the Amendment S.Amdt. 202,Rejected,Dayton Amdt. No. 202;,37,63,1-79,FALSE,100,0.37,FALSE,FALSE,72,0.7954545454545454,0.01818181818181818,NA
2005-03-17,1,80,S.Con.Res. 18,On the Amendment S.Amdt. 238,Agreed to,"Levin Amdt. No. 238; To promote innovation and U.S. competitiveness by expressing the sense of the Senate urging the Senate Committee on Appropriations to make efforts to fund the Advanced Technology Program, which supports industry-led research and development of cutting-edge technologies with broad commercial potential and societal benefits.",53,46,1-80,FALSE,99,0.5353535353535354,FALSE,FALSE,73,0.9772727272727273,0.16666666666666666,NA
2005-03-17,1,81,S.Con.Res. 18,On the Concurrent Resolution,Agreed to,S. Con. Res. 18 As Amended; Restore Pay-As-You Go Tax Cuts bill,51,49,1-81,FALSE,100,0.51,FALSE,FALSE,74,0,0.9272727272727272,Republican
2005-04-05,1,83,S. 600,On the Amendment S.Amdt. 278,Agreed to,Boxer Amdt. No. 278; To prohibit the application of certain restrictive eligibility requirements to foreign nongovernmental organizations with respect to the provision of assistance under part I of the Foreign Assistance Act of 1961.,52,46,1-83,FALSE,98,0.5306122448979592,FALSE,FALSE,75,1,0.14545454545454545,NA
2005-04-06,1,84,S. 600,On the Amendment S.Amdt. 286,Rejected,Biden Amdt. No. 286; To provide a second degree amendment related to the United States share of assessment for United Nations Peacekeeping operations.,40,57,1-84,FALSE,97,0.41237113402061853,FALSE,FALSE,76,0.9285714285714286,0,Democratic
2005-04-06,1,85,S. 600,On the Motion to Table S.Amdt. 284,Agreed to,Motion To Table Dorgan Amdt. No. 284; To prohibit funds from being used for television broadcasting to Cuba.,65,35,1-85,FALSE,100,0.65,FALSE,FALSE,77,0.2727272727272727,0.9636363636363636,NA
2005-04-06,1,86,S. 600,On the Motion to Table S.Amdt. 309,Rejected,Motion To Table Schumer Amdt. No. 309; To authorize appropriate action if the negotiations with the People's Republic of China regarding China's undervalued currency are not successful.,33,67,1-86,FALSE,100,0.33,TRUE,FALSE,78,0.1590909090909091,0.4727272727272727,NA
2005-04-12,1,89,H.R. 1268,On the Motion S.Amdt. 344,Rejected,"Motion to Waive Sec. 402, S. Con. Res. 95 (108th) ""Emergency designation"" Re: Murray Amdt. No. 344, As Modified; To provide $1,975,183,000 for medical care for veterans.",46,54,1-89,FALSE,100,0.46,FALSE,FALSE,79,1,0.01818181818181818,Democratic
2005-04-12,1,90,H.R. 1268,On the Motion S.Amdt. 344,Rejected,"Motion to Waive C.B.A. Re: Murray Amdt. No. 344, As Modified; To provide $1,975,183,000 for medical care for veterans.",46,54,1-90,FALSE,100,0.46,FALSE,FALSE,80,1,0.01818181818181818,Democratic
2005-04-13,1,91,H.R. 1268,On the Motion to Table S.Amdt. 356,Rejected,"Motion to Table Durbin Amdt. No. 356; To ensure that a Federal employee who takes leave without pay in order to perform service as a member of the uniformed services or member of the National Guard shall continue to receive pay in an amount which when taken together with the pay and allowances such individual is receiving for such service, will be no less than the basic pay such individual would then be receiving if no interruption in employment had occurred.",39,61,1-91,FALSE,100,0.39,FALSE,FALSE,81,0,0.7090909090909091,NA
2005-04-13,1,92,H.R. 1268,On the Motion S.Amdt. 334,Rejected,"Motion to Table Kerry Amdt. No. 334; To increase the military death gratuity to $100,000, effective with respect to any deaths of members of the Armed Forces on active duty after October 7, 2001.",25,75,1-92,FALSE,100,0.25,TRUE,FALSE,82,0,0.45454545454545453,NA
2005-04-13,1,93,H.R. 1268,On the Amendment S.Amdt. 367,Rejected,"Byrd Amdt. No. 367; To reduce by $36,000,000 the amount appropriated for ""Military Construction, Army"", with the amount of the reduction to be allocated to funds available under that heading for the Camp 6 Detention Facility at Guantanamo Bay, Cuba.",27,71,1-93,FALSE,98,0.2755102040816326,TRUE,FALSE,83,0.5952380952380952,0.01818181818181818,NA
2005-04-13,1,94,H.R. 1268,On the Amendment S.Amdt. 372,Agreed to,"Cornyn Amdt. No. 372; To express the sense of the Senate that Congress should not delay enactment of critical appropriations necessary to ensure the well-being of the men and women of the United States Armed Forces fighting in Iraq and elsewhere around the world, by attempting to conduct a debate about immigration reform while the supplemental appropriations bill is pending on the floor of the United States Senate.",61,38,1-94,FALSE,99,0.6161616161616161,FALSE,FALSE,84,0.3023255813953488,0.8727272727272727,NA
2005-04-18,1,96,H.R. 1268,On the Amendment S.Amdt. 464,Agreed to,Byrd Amdt. No. 464; To express the sense of the Senate on future requests for funding for military operations in Afghanistan and Iraq.,61,31,1-96,FALSE,92,0.6630434782608695,TRUE,FALSE,85,1,0.40384615384615385,NA
2005-04-19,1,97,H.R. 1268,On the Cloture Motion S.Amdt. 432,Rejected,"Motion to Invoke Cloture on the Chambliss Amdt. No. 432; To simplify the process for admitting temporary alien agricultural workers under section 101(a)(15)(H)(ii)(a) of the Immigration and Nationality Act, to increase access to such workers, and for other purposes.",21,77,1-97,FALSE,98,0.21428571428571427,TRUE,FALSE,86,0.047619047619047616,0.34545454545454546,NA
2005-04-19,1,98,H.R. 1268,On the Cloture Motion S.Amdt. 375,Rejected,"Motion to Invoke Cloture on the Craig Amdt. No. 375; To provide for the adjustment of status of certain foreign agricultural workers, to amend the Immigration and Nationality Act to reform the H-2A worker program under that Act, to provide a stable, legal agricultural workforce, to extend basic legal protections and better working conditions to more workers, and for other purposes.",53,45,1-98,FALSE,98,0.5408163265306123,FALSE,FALSE,87,0.8809523809523809,0.2727272727272727,NA
2005-04-19,1,99,H.R. 1268,On the Motion,Agreed to,"Motion to Instruct the Sgt. At Arms; Emergency Supplemental Appropriations Act for Defense, the Global War on Terror, and Tsunami Relief, 2005",91,7,1-99,FALSE,98,0.9285714285714286,TRUE,FALSE,88,0.8571428571428571,0.9818181818181818,NA
2005-04-19,1,100,H.R. 1268,On the Motion,Agreed to,"Motion to Recess, As Modified; Emergency Supplemental Appropriations Act for Defense, the Global War on Terror, and Tsunami Relief, 2005",56,42,1-100,FALSE,98,0.5714285714285714,FALSE,FALSE,89,0.023809523809523808,1,Republican
2005-04-19,1,101,H.R. 1268,On the Cloture Motion S.Amdt. 387,Agreed to,Motion to Invoke Cloture on the Mikulski Amdt. No. 387; To revise certain requirements for H-2B employers and require submission of information regarding H-2B nonimmigrants.,83,17,1-101,FALSE,100,0.83,TRUE,FALSE,90,0.9772727272727273,0.7090909090909091,NA
2005-04-19,1,102,H.R. 1268,On the Amendment S.Amdt. 387,Agreed to,"Mikulski Amdt. No. 387, As Amended; To revise certain requirements for H-2B employers and require submission of information regarding H-2B nonimmigrants.",94,6,1-102,FALSE,100,0.94,TRUE,FALSE,91,0.9545454545454546,0.9272727272727272,NA
2005-04-20,1,104,H.R. 1268,On the Motion to Table S.Amdt. 471,Agreed to,Motion to Table Coburn Amdt. No. 471; To reduce appropriations for the Iraqi embassy to reduce outlays expected to occur in fiscal year 2007 or later.,54,45,1-104,FALSE,99,0.5454545454545454,FALSE,FALSE,92,0.5681818181818182,0.5357142857142857,NA
2005-04-20,1,105,H.R. 1268,On the Amendment S.Amdt. 516,Agreed to,Byrd Amdt. No. 516; To increase funding for border security.,65,34,1-105,FALSE,99,0.6565656565656566,TRUE,FALSE,93,1,0.38181818181818183,NA
2005-04-20,1,106,H.R. 1268,On the Amendment S.Amdt. 498,Agreed to,Warner Amdt. No. 498; Relating to the aircraft carriers of the Navy.,58,38,1-106,FALSE,96,0.6041666666666666,FALSE,FALSE,94,0.8292682926829268,0.43636363636363634,NA
2005-04-21,1,107,PN329,On the Nomination,Confirmed,"Confirmation John D. Negroponte, of New York, to be Director of National Intelligence",98,2,1-107,TRUE,100,0.98,TRUE,TRUE,95,0.9545454545454546,1,NA
